conversation_ID,utterance_ID,speaker,text,emotion
1,1,Chandler,"Alright , so I am back in high school , I am standing in the middle of the cafeteria , and I realize I am totally naked .",neutral
1,2,All,"Oh , yeah . Had that dream .",neutral
1,3,Chandler,"Then I look down , and I realize there is a phone ... there .",surprise
1,4,Joey,Instead of ... ?,surprise
1,5,Chandler,That is right .,anger
1,6,Joey,Never had that dream .,neutral
1,7,Phoebe,No .,neutral
1,8,Chandler,"All of a sudden , the phone starts to ring .",neutral
2,1,Ross,"I do not want to be single , okay ? I just ... I just ... I just wanna be married again !",sadness
2,2,Chandler,And I just want a million dollars !,neutral
2,3,Monica,Rachel ? !,surprise
3,1,Monica,Oh my God !,surprise
3,2,Paul,"I know , I know , I am such an idiot .",neutral
3,3,Paul,"I guess I should have caught on when she started going to the dentist four and five times a week . I mean , how clean can teeth get ?",sadness
3,4,Monica,"My brother going through that right now , he is such a mess . How did you get through it ?",neutral
3,5,Paul,"Well , you might try accidentally breaking something valuable of hers , say her ...",neutral
3,6,Monica,leg ?,surprise
3,7,Paul,That is one way !,joy
3,8,Paul,"Me , I ... I went for the watch .",neutral
3,9,Monica,You actually broke her watch ?,surprise
4,1,Rachel,"Barry , I am sorry ...",sadness
4,2,Rachel,I am so sorry ...,sadness
4,3,Rachel,"I know you probably think that this is all about what I said the other day about you making love with your socks on , but it is not ... it is not , it is about me , and I ju ...",sadness
5,1,Rachel,"Oh , look , wish me luck !",joy
5,2,Monica,What for ?,neutral
5,3,Rachel,I am gonna go get one of those job things .,joy
6,1,Ross,"You know you probably did not know this , but back in high school , I had a , um , major crush on you .",neutral
6,2,Rachel,I knew .,neutral
6,3,Ross,You did ! Oh ...,surprise
6,4,Ross,I always figured you just thought I was Monica geeky older brother .,neutral
6,5,Rachel,I did .,neutral
6,6,Ross,Oh .,sadness
6,7,Ross,"Listen , do you think ... and try not to let my intense vulnerability become any kind of a factor here ... but do you think it would be okay if I asked you out ? Sometime ? Maybe ?",neutral
6,8,Rachel,"Yeah , maybe ...",joy
6,9,Ross,Okay ...,neutral
6,10,Ross,"okay , maybe I will ...",neutral
7,1,Mrs. Geller,"What that Rachel did to her life ... We ran into her parents at the club , they were not playing very well .",sadness
7,2,Mr. Geller,I am not gonna tell you what they spent on that wedding ... but forty thousand dollars is a lot of money !,surprise
7,3,Mrs. Geller,"Well , at least she had the chance to leave a man at the altar ...",neutral
7,4,Monica,What that supposed to mean ?,surprise
7,5,Mrs. Geller,Nothing ! It is an expression .,neutral
7,6,Monica,No it is not .,neutral
7,7,Mr. Geller,Do not listen to your mother .,neutral
7,8,Mr. Geller,"You are independent , and you always have been !",neutral
7,9,Mr. Geller,"Even when you were a kid ... and you were chubby , and you had no friends , you were just fine !",neutral
7,10,Mr. Geller,"And you would read alone in your room , and your puzzles ...",neutral
8,1,Ross,"Sorry I am late , I was stuck at work . There was this big dinosaur ... thing ... anyway .",sadness
8,2,Susan,Hi .,neutral
8,3,Carol,"Ross , you remember Susan ?",neutral
8,4,Ross,How could I forget ?,neutral
8,5,Susan,Ross .,neutral
8,6,Ross,"Hello , Susan . Good shake . Good shake .",neutral
8,7,Ross,"So , uh , we are just waiting for ... ?",neutral
8,8,Carol,Dr . Oberman .,neutral
8,9,Ross,... Dr . Oberman . Okay . And is he ...,neutral
8,10,Susan,She .,neutral
8,11,Ross,"she , of course , she ... uh ... familiar with our ... special situation ?",neutral
8,12,Carol,"Yes , and she is very supportive .",joy
8,13,Ross,"Great . Okay , that is great .",joy
8,14,Ross,"No , I am ... Oh .",neutral
8,15,Carol,Thanks .,neutral
8,16,Ross,"Quack , quack ...",joy
8,17,Carol,Ross ? That opens my cervix .,surprise
9,1,Rachel,Barry ?,surprise
9,2,Barry,C mon in .,neutral
9,3,Rachel,Are you sure ?,surprise
9,4,Barry,"Yeah ! It is fine , it is fine . Robbie gonna be here for hours .",neutral
9,5,Robbie,Huh ? !,surprise
9,6,Barry,"So , how you doin ?",neutral
10,1,Barry,So . What have you been up to ?,neutral
10,2,Rachel,"Oh , not much . I ... I got a job .",joy
10,3,Barry,"Oh , that is great .",joy
10,4,Rachel,Why are ... why are you so tanned ?,surprise
10,5,Barry,"Oh , I , uh ... I went to Aruba .",neutral
11,1,Monica,"I mean , why should I let them meet him ? I mean , I bring a guy home , and within five minutes they are all over him . I mean , they are like ... coyotes , picking off the weak members of the herd .",disgust
11,2,Paula,"Listen . As someone who seen more than her fair share of bad beef , I will tell you : that is not such a terrible thing .",neutral
11,3,Paula,"Come on , they are your friends , they are just looking out after you .",neutral
11,4,Monica,"I know . I just wish that once , I would bring a guy home that they actually liked .",sadness
11,5,Paula,"Well , you do realise the odds of that happening are a little slimmer if they never get to meet the guy ...",neutral
12,1,Joey,"Let it go , Ross .",neutral
12,2,Ross,"Yeah , well , you did not know Chi Chi .",anger
12,3,Monica,Do you all promise ?,neutral
12,4,All,Yeah ! We promise ! We will be good !,neutral
12,5,Monica,Chandler ? Do you promise to be good ?,neutral
12,6,Joey,"You can come in , but your filter ... tipped little buddy has to stay outside !",joy
12,7,Ross,"Hey , Pheebs .",neutral
12,8,Phoebe,Dear Ms . Buffay . Thank you for calling attention to our error . We have credited your account with five hundred dollars .,neutral
